permno,date,mvel1,beta,betasq,chmom,dolvol,idiovol,indmom,mom1m,mom6m,mom12m,mom36m,pricedelay,turn,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,ms,baspread,ill,maxret,retvol,std_dolvol,std_turn,zerotrade,sic2,returns
12490,2000-01,194455906.5,0.7210593377,0.5199265685,-0.568903629,17.682199164,0.043931804500000005,0.7344257623,0.0466949679,-0.200913714,0.1229585339,1.4722705903,-0.20639833,1.2556629188,0.0351434078,-0.035143408,37.0,-0.05645468,0.1202051092,-1.41542056,0.1683365797,17.038549432,0.0549119477,0.048405187999999995,0.0014577492999999998,-0.04402922099999999,-0.266537121,0.0007279280000000001,-0.281387432,0.0,1.1502430282,0.2279557842,0.0,0.0,0.0049386999,-0.019321202,0.0374725337,0.4337108431,0.1082780894,0.0872200908,0.0489613447,0.0801662554,0.0343317096,0.39478214359999997,0.08080022049999999,47389.269067,0.6306165355,0.0121240217,30.615421535,-0.046434925999999994,0.0408921785,-0.019444915,-0.04164008,0.0283679239,-0.083786238,0.031079832400000004,0.028035146299999997,-0.465391909,3.0,1.0090422788,0.0,0.0264463236,0.054685491100000004,0.2471138846,0.10672410560000001,14.158633842,15.705192307999999,3.0494380344,0.0,0.0,0.0402379375,0.0,0.4836076818,0.4444065041,0.1989478027,0.5550457053,0.08687775199999999,0.013240481399999999,-0.078544755,-0.05973887,1.0,0.029247348700000002,0.0086920728,0.1306129138,0.0131808042,0.0642972058,0.0707499594,6.0,0.0311501334,1.950775e-11,0.0609828308,0.0229927255,0.5356470296,2.1419656495,2.2601897999999997e-08,73.0,-0.050904
12490,2000-02,202342299.0,0.6952587717000001,0.4833847596,-0.479969373,17.706697436,0.043676882,1.0832184944,0.0405561998,-0.139893406,0.1826109779,1.3729951297,-0.251537912,1.0149332114,0.0351434078,-0.035143408,37.0,-0.05645468,0.1202051092,-1.4398397269999998,0.1683365797,17.038549432,0.0549119477,0.048405187999999995,0.0014577492999999998,-0.04402922099999999,-0.266537121,0.0007279280000000001,-0.281387432,0.0,1.1502430282,0.2279557842,0.0,0.0,0.0049386999,-0.019321202,0.0374725337,0.4337108431,0.1082780894,0.0872200908,0.0489613447,0.0801662554,0.0343317096,0.39478214359999997,0.08080022049999999,48784.133939,0.6306165355,0.0121240217,30.615421535,-0.046434925999999994,0.0408921785,-0.019444915,-0.04164008,0.0283679239,-0.083786238,0.031079832400000004,0.028035146299999997,-0.465391909,3.0,1.0090422788,0.0,0.0264463236,0.054685491100000004,0.2471138846,0.10672410560000001,14.158633842,15.705192307999999,3.0494380344,0.0,0.0,0.0402379375,0.0,0.4836076818,0.4444065041,0.1989478027,0.5550457053,0.08687775199999999,0.013240481399999999,-0.078544755,-0.05973887,1.0,0.029247348700000002,0.0086920728,0.1306129138,0.0131808042,0.0642972058,0.0707499594,6.0,0.0422317353,2.184799e-11,0.0718424097,0.027836181499999998,0.29589416609999997,1.5928229708000001,2.2517627999999997e-08,73.0,-0.020108
12490,2000-03,185217561.0,0.7162245923,0.5129776666,-0.643720874,17.948630170999998,0.0437228051,1.3305108012,-0.083563477,-0.097796714,0.32671963,1.3961549465,-0.24235918,0.8682741643999999,0.0351434078,-0.035143408,37.0,-0.05645468,0.1202051092,-1.450616135,0.1683365797,17.038549432,0.0549119477,0.048405187999999995,0.0014577492999999998,-0.04402922099999999,-0.266537121,0.0007279280000000001,-0.281387432,0.0,1.1502430282,0.2279557842,0.0,0.0,0.0049386999,-0.019321202,0.0374725337,0.4337108431,0.1082780894,0.0872200908,0.0489613447,0.0801662554,0.0343317096,0.39478214359999997,0.08080022049999999,48784.133939,0.6306165355,0.0121240217,30.615421535,-0.046434925999999994,0.0408921785,-0.019444915,-0.04164008,0.0283679239,-0.083786238,0.031079832400000004,0.028035146299999997,-0.465391909,3.0,1.0090422788,0.0,0.0264463236,0.054685491100000004,0.2471138846,0.10672410560000001,14.158633842,15.705192307999999,3.0494380344,0.0,0.0,0.0402379375,0.0,0.4836076818,0.4444065041,0.1989478027,0.5550457053,0.08687775199999999,0.013240481399999999,-0.078544755,-0.05973887,1.0,0.029247348700000002,0.0086920728,0.1306129138,0.0131808042,0.0642972058,0.0707499594,6.0,0.0306260344,2.7493140000000003e-11,0.0437677987,0.0239229175,0.24345627539999998,1.0549380405,2.9531722e-08,73.0,0.09672
12490,2000-04,211663798.0,0.6956730615000001,0.4839610085,-0.390549949,18.033409322,0.0434246971,2.3198006866,0.1484184861,-0.148844834,0.16440773919999999,1.6205162609000001,-0.123746975,0.9345840016,0.0351434078,-0.035143408,37.0,-0.05645468,0.1202051092,-1.4611962530000002,0.1683365797,17.038549432,0.0549119477,0.048405187999999995,0.0014577492999999998,-0.04402922099999999,-0.266537121,0.0007279280000000001,-0.281387432,0.0,1.1502430282,0.2279557842,0.0,0.0,0.0049386999,-0.019321202,0.0374725337,0.4337108431,0.1082780894,0.0872200908,0.0489613447,0.0801662554,0.0343317096,0.39478214359999997,0.08080022049999999,50221.448271,0.6306165355,0.0121240217,30.615421535,-0.046434925999999994,0.0408921785,-0.019444915,-0.04164008,0.0283679239,-0.083786238,0.031079832400000004,0.028035146299999997,-0.465391909,3.0,1.0090422788,0.0,0.0264463236,0.054685491100000004,0.2471138846,0.10672410560000001,14.158633842,15.705192307999999,3.0494380344,0.0,0.0,0.0402379375,0.0,0.4836076818,0.4444065041,0.1989478027,3.0463990027,0.0705827233,0.00287259,0.0387251884,-0.14953134199999998,0.0,0.021140533,0.0056960735,0.09197202210000001,0.004756612800000001,0.0656000562,0.0751274816,6.0,0.0400159409,2.569221e-11,0.0556900725,0.0293503677,0.23861897940000001,1.0884652519,1.7644964000000002e-08,73.0,-0.030796
12490,2000-05,200004351.5,0.6782996357,0.4600903958,0.19628205210000002,18.220497058,0.0440755912,1.4332907654,-0.055084746,0.20382048149999998,0.13306747789999998,1.6446832232,-0.211198789,0.9298863911,0.0351434078,-0.035143408,37.0,-0.05645468,0.1202051092,-1.477958958,0.1683365797,17.038549432,0.0549119477,0.048405187999999995,0.0014577492999999998,-0.04402922099999999,-0.266537121,0.0007279280000000001,-0.281387432,0.0,1.1502430282,0.2279557842,0.0,0.0,0.0049386999,-0.019321202,0.0374725337,0.4337108431,0.1082780894,0.0872200908,0.0489613447,0.0801662554,0.0343317096,0.39478214359999997,0.08080022049999999,51144.064166000004,0.6306165355,0.0121240217,30.615421535,-0.046434925999999994,0.0408921785,-0.019444915,-0.04164008,0.0283679239,-0.083786238,0.031079832400000004,0.028035146299999997,-0.465391909,3.0,1.0090422788,0.0,0.0264463236,0.054685491100000004,0.2471138846,0.10672410560000001,14.158633842,15.705192307999999,3.0494380344,0.0,0.0,0.0402379375,0.0,0.4836076818,0.4444065041,0.1989478027,3.0463990027,0.0705827233,0.00287259,0.0387251884,-0.14953134199999998,0.0,0.021140533,0.0056960735,0.09197202210000001,0.004756612800000001,0.0656000562,0.0751274816,6.0,0.0554191187,2.370266e-11,0.065476194,0.0334058916,0.2990563846,1.5783410347,2.4769693e-08,73.0,-0.021915
12490,2000-06,190358372.88,0.7325099145,0.5365707749,0.1539619039,18.057543565,0.0452668217,0.7048129994,-0.035829596,0.0831312872,-0.035621899,1.7176961438999998,-0.17731117300000002,0.9111600973,0.0351434078,-0.035143408,37.0,-0.05645468,0.1202051092,-1.474137606,0.1683365797,17.038549432,0.0549119477,0.048405187999999995,0.0014577492999999998,-0.04402922099999999,-0.266537121,0.0007279280000000001,-0.281387432,0.0,1.1502430282,0.2279557842,0.0,0.0,0.0049386999,-0.019321202,0.0374725337,0.4337108431,0.1082780894,0.0872200908,0.0489613447,0.0801662554,0.0343317096,0.39478214359999997,0.08080022049999999,51761.972506,0.6306165355,0.0121240217,30.615421535,-0.046434925999999994,0.0408921785,-0.019444915,-0.04164008,0.0283679239,-0.083786238,0.031079832400000004,0.028035146299999997,-0.465391909,3.0,1.0090422788,0.0,0.0264463236,0.054685491100000004,0.2471138846,0.10672410560000001,14.158633842,15.705192307999999,3.0494380344,0.0,0.0,0.0402379375,0.0,0.4836076818,0.4444065041,0.1989478027,3.0463990027,0.0705827233,0.00287259,0.0387251884,-0.14953134199999998,0.0,0.021140533,0.0056960735,0.09197202210000001,0.004756612800000001,0.0656000562,0.0751274816,6.0,0.0320491745,2.898653e-11,0.046190761,0.0239677906,0.2691312133,0.9233242968,2.885835e-08,73.0,0.023934
12490,2000-07,194236453.81,0.7159624317000001,0.5126022036,0.18166074210000002,17.925586979000002,0.0448840594,0.26316242089999997,0.0203725267,-0.002266025,-0.16549570800000002,1.9023003699,-0.145930579,0.7992750227,0.027639044900000003,-0.027639045,38.0,-0.016202091000000002,0.1099015216,-0.503015682,0.2075704634,20.425536100000002,0.0525322342,0.0310112473,0.0999111729,0.9480318417,-0.339492489,-0.003824995,0.5351420656,0.0,1.0903784931,0.35014212619999996,0.0,0.0,0.0045668909,0.0561868029,0.0400681031,0.44236933799999995,-0.12277344300000001,0.08812465800000001,0.0485177558,0.056117663600000006,-0.06487804900000001,0.3480189079,0.0047549762,56997.1141,0.7245332459999999,0.0114607608,-1.516766171,-0.052045119,0.5360089563,0.0055335267,-0.041288072,0.13585810480000002,0.0407584504,0.0652863199,0.14512369449999998,-0.311073651,7.0,0.9673808681999999,0.0,0.023769653999999998,0.052257047599999995,0.2623939822,0.11662183570000001,15.014234265,17.984387839,3.1699616192,0.0,0.0,0.07201195099999999,0.0,0.4548602555,0.4303253443,0.6794775704000001,0.5905155427000001,0.0666438082,-0.000696864,0.0390376593,0.0199008593,1.0,0.024468521200000003,0.005790468000000001,0.1040960734,-0.00493058,0.0670789297,0.0768877526,6.0,0.035706615899999995,3.335187e-11,0.0767519474,0.0319881829,0.3178732368,1.0925787722,2.6157692000000003e-08,73.0,-0.016341
12490,2000-08,199333360.19,0.7013825829000001,0.4919375275,0.1090651056,17.999948403,0.0451347784,0.4872766319,0.0262407307,-0.021619076,-0.12435959099999999,1.4086335338999998,-0.135747502,0.7694563636,0.027639044900000003,-0.027639045,38.0,-0.016202091000000002,0.1099015216,-0.501476603,0.2075704634,20.425536100000002,0.0525322342,0.0310112473,0.0999111729,0.9480318417,-0.339492489,-0.003824995,0.5351420656,0.0,1.0903784931,0.35014212619999996,0.0,0.0,0.0045668909,0.0561868029,0.0400681031,0.44236933799999995,-0.12277344300000001,0.08812465800000001,0.0485177558,0.056117663600000006,-0.06487804900000001,0.3480189079,0.0047549762,56997.1141,0.7245332459999999,0.0114607608,-1.516766171,-0.052045119,0.5360089563,0.0055335267,-0.041288072,0.13585810480000002,0.0407584504,0.0652863199,0.14512369449999998,-0.311073651,7.0,0.9673808681999999,0.0,0.023769653999999998,0.052257047599999995,0.2623939822,0.11662183570000001,15.014234265,17.984387839,3.1699616192,0.0,0.0,0.07201195099999999,0.0,0.4548602555,0.4303253443,0.6794775704000001,0.5905155427000001,0.0666438082,-0.000696864,0.0390376593,0.0199008593,1.0,0.024468521200000003,0.005790468000000001,0.1040960734,-0.00493058,0.0670789297,0.0768877526,6.0,0.0309433539,2.280016e-11,0.1304347813,0.0357414238,0.510419153,2.6030557647,2.6187082000000004e-08,73.0,0.060699
12490,2000-09,232413060.0,0.6771233669,0.458496054,0.4606815952,17.785155667999998,0.045649376500000005,0.33837249049999996,0.1751417518,0.0956070926,-0.09413886199999999,1.4875836095,-0.102414565,0.7616051525,0.027639044900000003,-0.027639045,38.0,-0.016202091000000002,0.1099015216,-0.504439204,0.2075704634,20.425536100000002,0.0525322342,0.0310112473,0.0999111729,0.9480318417,-0.339492489,-0.003824995,0.5351420656,0.0,1.0903784931,0.35014212619999996,0.0,0.0,0.0045668909,0.0561868029,0.0400681031,0.44236933799999995,-0.12277344300000001,0.08812465800000001,0.0485177558,0.056117663600000006,-0.06487804900000001,0.3480189079,0.0047549762,57017.29861699999,0.7245332459999999,0.0114607608,-1.516766171,-0.052045119,0.5360089563,0.0055335267,-0.041288072,0.13585810480000002,0.0407584504,0.0652863199,0.14512369449999998,-0.311073651,7.0,0.9673808681999999,0.0,0.023769653999999998,0.052257047599999995,0.2623939822,0.11662183570000001,15.014234265,17.984387839,3.1699616192,0.0,0.0,0.07201195099999999,0.0,0.4548602555,0.4303253443,0.6794775704000001,0.5905155427000001,0.0666438082,-0.000696864,0.0390376593,0.0199008593,1.0,0.024468521200000003,0.005790468000000001,0.1040960734,-0.00493058,0.0670789297,0.0768877526,6.0,0.0250219569,2.30378e-11,0.0373092145,0.0156891064,0.3000921526,0.7810648840000001,2.8230638e-08,73.0,-0.053483
12490,2000-10,198079312.5,0.6950915865999999,0.4831523138,-0.021998122999999998,17.943231641,0.04540705,0.36630579770000005,-0.147727266,0.121101457,0.09585686119999999,1.3110042434,-0.137363097,0.7072034592,0.027639044900000003,-0.027639045,38.0,-0.016202091000000002,0.1099015216,-0.533390656,0.2075704634,20.425536100000002,0.0525322342,0.0310112473,0.0999111729,0.9480318417,-0.339492489,-0.003824995,0.5351420656,0.0,1.0903784931,0.35014212619999996,0.0,0.0,0.0045668909,0.0561868029,0.0400681031,0.44236933799999995,-0.12277344300000001,0.08812465800000001,0.0485177558,0.056117663600000006,-0.06487804900000001,0.3480189079,0.0047549762,58997.695007,0.7245332459999999,0.0114607608,-1.516766171,-0.052045119,0.5360089563,0.0055335267,-0.041288072,0.13585810480000002,0.0407584504,0.0652863199,0.14512369449999998,-0.311073651,7.0,0.9673808681999999,0.0,0.023769653999999998,0.052257047599999995,0.2623939822,0.11662183570000001,15.014234265,17.984387839,3.1699616192,0.0,0.0,0.07201195099999999,0.0,0.4548602555,0.4303253443,0.6794775704000001,0.3174691361,0.043569668,0.00025687759999999996,-0.01312905,0.0040935124,0.0,0.0173609921,0.0051617929,0.0740578226,-0.004580374,0.0669379507,0.0737571186,6.0,0.029435254700000003,2.2998820000000002e-11,0.018500000200000002,0.017847596,0.2256000681,0.7714236936,3.6320165e-08,73.0,-0.004949
