date,dp,ep,bm,ntis,tbl,tms,dfy,svar
2000-01,-4.423938054878034,-3.3464706997741467,0.15465416,0.0253587807,0.0532,0.013400000000000009,0.005500000000000005,0.0052062998
2000-02,-4.402226056187225,-3.3074605630456615,0.1670564326,0.027418814,0.0555,0.009100000000000004,0.006100000000000008,0.0030004662
2000-03,-4.4931588523750365,-3.381428512383017,0.1499735618,0.0182913901,0.0569,0.004900000000000002,0.006900000000000003,0.0066783159
2000-04,-4.463030952415648,-3.343823145943605,0.1526004182,0.0119449458,0.0566,0.006400000000000003,0.0076000000000000095,0.0079417469
2000-05,-4.442031639960686,-3.3153768796096763,0.1556687311,0.0091785275,0.0579,0.006100000000000001,0.009099999999999997,0.0051854234
2000-06,-4.466838016020212,-3.3327821553246055,0.1567779616,0.0071242127,0.0569,0.005299999999999999,0.008099999999999996,0.0023597572
2000-07,-4.457511302057062,-3.304943503608637,0.155674151,0.0047122339,0.0596,0.0015000000000000013,0.007000000000000006,0.0020654329
2000-08,-4.523640483168055,-3.352635034731566,0.146053064,0.0046746382,0.0609,-0.0015000000000000013,0.007100000000000009,0.0010392529
2000-09,-4.475927445490471,-3.2865588382447224,0.1537894629,0.0044689258,0.06,0.0011999999999999997,0.007300000000000001,0.0015999952
2000-10,-4.472514544008221,-3.304831372146872,0.1493007889,0.0037442804,0.0611,-0.0011000000000000038,0.007900000000000004,0.0055682093
2000-11,-4.390615832894612,-3.24516420981715,0.1572808929,0.0011574522,0.0617,-0.0040999999999999995,0.008300000000000002,0.0032724144
2000-12,-4.396214732140832,-3.273576108869868,0.1518515036,-0.0022617472,0.0577,-0.001899999999999999,0.008099999999999996,0.0052992481
2001-01,-4.436386559722948,-3.3384980189870976,0.1504496662,-0.0031925908,0.0515,0.004700000000000003,0.007800000000000001,0.004941018
2001-02,-4.345720976990203,-3.2735220948117743,0.1560700913,-0.0068557205,0.0488,0.006099999999999994,0.007700000000000012,0.0025284102
2001-03,-4.285559929593664,-3.240066951988588,0.1331135514,-0.0052134444,0.0442,0.011699999999999995,0.008599999999999997,0.0071395945
2001-04,-4.365576320783313,-3.379629432524255,0.1224969006,-0.0025430255,0.0387,0.0206,0.0087,0.0074262611
2001-05,-4.376692983735495,-3.4548656073027546,0.120510188,-0.0002482857,0.0362,0.0232,0.0077999999999999875,0.0025362374
2001-06,-4.357453946678575,-3.5049964723523663,0.1252094328,0.0050407545,0.0349,0.024099999999999996,0.00789999999999999,0.0015083583
2001-07,-4.345558979110116,-3.57411112133373,0.1249665833,0.0079138367,0.0351,0.020999999999999998,0.00839999999999999,0.0028996134
2001-08,-4.278246788565765,-3.5947488575480153,0.1321641438,0.0099183208,0.0336,0.021000000000000005,0.008300000000000002,0.0022215212
2001-09,-4.191928348979534,-3.6046643309424833,0.1486285882,0.008652734,0.0264,0.0278,0.008599999999999997,0.0071675937
2001-10,-4.209782927604504,-3.6661611267055525,0.1449013996,0.0107492736,0.0216,0.028999999999999998,0.008800000000000002,0.0032497725
2001-11,-4.282178321372422,-3.784185421368443,0.1334813667,0.0111617665,0.0187,0.0366,0.008400000000000005,0.002189358
2001-12,-4.289641017873419,-3.839447957505588,0.1312178459,0.0134648247,0.0169,0.040600000000000004,0.012800000000000006,0.0017979581
